text,label
सोहन ने 7.423 की . ग्रा . चावल तथा 6.129 की . ग्रा . दाल खरीदी ।,4
सोहन ने कुल कितना सामान खरीदा ?,4
1 चादर की क़ीमत 200 रुपये है ।,2
सावित्री के पास 123 रुपये हैं,2
सावित्री के पास 123 रुपये हैं तो बताओ,2
"सावित्री के पास 123 रुपये हैं तो बताओ , उसे चादर ख़रीदने",4
"सावित्री के पास 123 रुपये हैं तो बताओ , उसे चादर ख़रीदने के लिए और कितने रुपये चाहिए ?",0
महिमा के घर से दफ़्तर की दूरी 420 मीटर है ।,2
जबकि उसके घर से खेत तक की दूरी 600 मीटर है ।,2
खेत दफ़्तर की तुलना में महिमा के घर से कितना ज़्यादा दूर है ?,2
कनिष्क को समुद्र तट पर 47 सीपियाँ मिलीं,0
"कनिष्क को समुद्र तट पर 47 सीपियाँ मिलीं , उसने लैला को 25 सीपियाँ दीं ।",5
उसके पास अब कितनी सीपियाँ हैं ?,2
"किसी राज्य में , वर्ष 2003 - 2004 में 753000 साइकिलें बेची गईं ।",5
वर्ष 2004 - 2005 में बेची,5
वर्ष 2004 - 2005 में बेची गई साइकिलों की संख्या 801200 थी ।,2
2004 - 2005 वर्ष में कितनी अधिक साइकिलें बेची गई ?,5
आर्केड में कोड़ी ने 49 टिकटें जीतीं ।,0
यदि वह 1 टोपी पर 25 टिकटें खर्च कीं,0
यदि वह 1 टोपी पर 25 टिकटें खर्च कीं और बाद में 6 और टिकटें जीतीं,0
"यदि वह 1 टोपी पर 25 टिकटें खर्च कीं और बाद में 6 और टिकटें जीतीं , तो उसके पास कितनी टिकटें होंगी ?",2
अथर्व और उसका भाई जो को 1 अज्ञात द्वीप में 1 दफ़न खज़ाने को ढूँढने,0
अथर्व और उसका भाई जो को 1 अज्ञात द्वीप में 1 दफ़न खज़ाने को ढूँढने के लिए 1 नक्शा मिला,0
अथर्व और उसका भाई जो को 1 अज्ञात द्वीप में 1 दफ़न खज़ाने को ढूँढने के लिए 1 नक्शा मिला इसलिए उन्होंने 1 खजाने की खोज पर जाने का फैसला किया ।,1
अथर्व और उसका भाई जो को 1 अज्ञात द्वीप में 1 दफ़न खज़ाने को ढूँढने के लिए 1 नक्शा मिला इसलिए उन्होंने 1 खजाने की खोज पर जाने का फैसला किया ।,0
नक्शे को समझने,0
"नक्शे को समझने के बाद , उन्हें पता चला",0
"नक्शे को समझने के बाद , उन्हें पता चला कि उन्हें आइलैंड ओफ़ मिस्ट्रीज़ में जाने की ज़रूरत है ।",1
"नक्शे को समझने के बाद , उन्हें पता चला कि उन्हें आइलैंड ओफ़ मिस्ट्रीज़ में जाने की ज़रूरत है ।",2
वहाँ पहुँचने,0
"वहाँ पहुँचने के लिए , वे या तो ₹600 का 1 विमान ले",0
द्वीप पर नाव ले,0
द्वीप पर नाव ले जाने पर वे कितना पैसा बचा सकते हैं ?,0
एवलिन के पास शुरुआत में 76 टाॅफ़ियाँ थीं ।,2
क्रिस्टीन ने एवलिन को 72 टाॅफ़ियाँ दीं ।,5
एवलिन के पास कितनी टाॅफ़ियाँ हैं ?,2
कैरोलिन के पास 47 कंचे और 6 संतरे थे ।,2
फ़िज़ा ने उसे 42 कंचे दिए ।,5
कैरोलिन के पास कितने कंचे हैं ?,2
बम्बई में कोरोना के 928 मरीज़ थे ।,2
