pIndex	Problem	Equation	Relevant Indices	Number of Operators
0	सोहन ने 7.423 की.ग्रा. चावल तथा 6.129 की.ग्रा. दाल खरीदी। सोहन ने कुल कितना सामान खरीदा?	X = ( 7.423 + 6.129 )	[0, 1]	1
2	1 बाल्टी की क़ीमत 175 रुपये है। सुमन के पास 158 रुपये हैं तो बताओ, उसे बाल्टी ख़रीदने के लिए और कितने रुपये चाहिए?	X = ( 175 - 158 )	[1, 2]	1
3	प्रीत के घर से स्कूल की दूरी 320 मीटर है । जबकि उसके घर से खेत तक की दूरी 500 मीटर है । खेत स्कूल की तुलना में प्रीत के घर से कितना ज़्यादा दूर है ?	X = ( 500 - 320 )	[1, 0]	1
4	कनिष्क को समुद्र तट पर 47 सीपियाँ मिलीं, उसने लैला को 25 सीपियाँ दीं। उसके पास अब कितनी सीपियाँ हैं?	X = ( 47 - 25 )	[0, 1]	1
6	किसी राज्य में, वर्ष 2002 2003 में 743000 साइकिलें बेची गईं। वर्ष 2003 2004 में बेची गई साइकिलों की संख्या 800100 थी। 2003 2004 वर्ष में कितनी अधिक साइकिलें बेची गई?	X = ( 800100 - 743000 )	[5, 2]	1
9	आर्केड में कोड़ी ने 49 टिकटें जीतीं। यदि उसने 1 टोपी पर 25 टिकटें खर्च कीं और बाद में 6 और टिकटें जीतीं, तो उसके पास कितनी टिकटें होंगी?	X = ( ( 49 + 6 ) - 25 )	[0, 3, 2]	2
10	अथर्व और उसका भाई जो को 1 अज्ञात द्वीप में 1 दफ़न खज़ाने को ढूँढने के लिए 1 नक्शा मिला इसलिए उन्होंने 1 खजाने की खोज पर जाने का फैसला किया। नक्शे को समझने के बाद, उन्हें पता चला कि उन्हें आइलैंड ओफ़ मिस्ट्रीज़ में जाने की ज़रूरत है। वहाँ पहुँचने के लिए, वे या तो ₹600 का 1 विमान ले सकते थे या ₹254 की 1 नाव। द्वीप पर नाव ले जाने पर वे कितना पैसा बचा सकते हैं?	X = ( 600 - 254 )	[4, 6]	1
11	एवलिन के पास शुरुआत में 76 टाॅफ़ियाँ थीं। क्रिस्टीन ने एवलिन को 72 टाॅफ़ियाँ दीं। एवलिन के पास कितनी टाॅफ़ियाँ हैं?	X = ( 76 + 72 )	[0, 1]	1
12	कैरोलिन के पास 47 कंचे और 6 संतरे थे। फ़िज़ा ने उसे 42 कंचे दिए। कैरोलिन के पास कितने कंचे हैं?	X = ( 47 + 42 )	[0, 2]	1
13	जयपुर में कोरोना के 918 मरीज़ थे। उसमें से 275 मरीज़ ठीक हो गए तो बताओ आप कितने मरीज़ शेष रहे?	X = ( 918 - 275 )	[0, 1]	1
